,Problem,Local Search Type,Result
0,C101,10LS,373.862502602481
1,C101,10LS,365.63704182848
2,C101,10LS,363.677253207493
3,C101,10LS,360.64154478825
4,C101,10LS,367.484698202117
5,C101,10LS,362.49975760434
6,C101,10LS,363.567969677602
7,C101,10LS,362.353294748133
8,C101,10LS,369.33483408052
9,C101,10LS,360.28957634000506
10,C101,0LS,374.195567116307
11,C101,0LS,368.336457992995
12,C101,0LS,387.262075818731
13,C101,0LS,373.481089264317
14,C101,0LS,372.9880446226
15,C101,0LS,368.972731494459
16,C101,0LS,376.736654770477
17,C101,0LS,377.146686189248
18,C101,0LS,386.19402555301804
19,C101,0LS,375.18255184418405
20,C101,0LS,370.6387265704454
21,C101,0LS,372.76158369052916
22,C101,0LS,371.9425786099984
23,C101,0LS,374.62674236225797
24,C101,0LS,375.1004472856395
25,C101,0LS,374.77878867139384
26,C101,2LS,360.440333513331
27,C101,2LS,363.521901556248
28,C101,2LS,367.854990283961
29,C101,2LS,362.779047626488
30,C101,2LS,373.684732094365
31,C101,2LS,367.155184827585
32,C101,2LS,363.677253207493
33,C101,2LS,361.642737911568
34,C101,2LS,370.702506257972
35,C101,2LS,362.880472171844
36,C101,20p10LS,370.893301773191
37,C101,20p10LS,374.938787131726
38,C101,20p10LS,373.601533721093
39,C101,20p10LS,384.096365119467
40,C101,20p10LS,375.529128490491
41,C101,20p10LS,371.308419335552
42,C101,20p10LS,373.35806748965103
43,C101,20p10LS,368.506689905696
44,C101,20p10LS,378.274160848338
45,C101,20p10LS,373.61896619576004
46,C101,20p10LS,4881.175141993658
47,C101,20p10LS,4872.134002215668
48,C101,20p10LS,4883.069519274991
49,C101,20p10LS,4872.880377838881
50,C101,20p10LS,4880.585609079788
51,C101,20p10LS,4871.785096498375
52,C101,20p10LS,4881.110184411654
53,C101,20p10LS,4886.813817950935
54,C101,20p10LS,4869.830992370841
55,C101,20p10LS,4872.076126452014
56,C101,20p10LS,4873.645944972287
57,C101,20p10LS,4875.826866426302
58,C101,20p10LS,4894.9451882138555
59,C101,20p10LS,4878.3381089570885
60,C101,20p10LS,4871.886444711103
61,C101,20p10LS,4878.21281322508
62,C101,20p10LS,4872.74033084482
63,C101,20p10LS,4872.1031280098205
64,C101,20p10LS,4875.727662811595
65,C101,20p10LS,4874.067050257495
66,C101,20p10LS,4870.274092548723
67,C101,20p10LS,4874.086980356172
68,C101,20p10LS,4885.497430444022
69,C101,20p10LS,4876.628015773651
70,C101,20p10LS,4888.405894077619
71,C201,10LS,458.070342302793
72,C201,10LS,452.248451879101
73,C201,10LS,459.57188274572405
74,C201,10LS,469.917591939248
75,C201,10LS,469.987482611909
76,C201,10LS,468.634736357639
77,C201,10LS,462.00318439226896
78,C201,10LS,464.402561346342
79,C201,10LS,467.36897922001
80,C201,10LS,470.310884272135
81,C201,0LS,471.35242741723897
82,C201,0LS,472.302449126204
83,C201,0LS,478.168874592491
84,C201,0LS,473.76970971925596
85,C201,0LS,482.735704999652
86,C201,0LS,450.433730285868
87,C201,0LS,464.804347019317
88,C201,0LS,476.39396067407205
89,C201,0LS,484.14961635855104
90,C201,0LS,470.265052753791
91,C201,0LS,466.70547226132265
92,C201,0LS,484.2594602567253
93,C201,0LS,473.62080264168424
94,C201,0LS,477.3753129018882
95,C201,0LS,456.6081272628901
96,C201,0LS,461.3756764435541
97,C201,0LS,473.11404964170197
98,C201,0LS,458.53199913480876
99,C201,0LS,465.8206553749044
100,C201,2LS,469.740422300354
101,C201,2LS,470.833144839169
102,C201,2LS,474.439125192605
103,C201,2LS,464.23192459629206
104,C201,2LS,465.815564897785
105,C201,2LS,471.954427422815
106,C201,2LS,471.65071768074006
107,C201,2LS,464.1741092436
108,C201,2LS,462.087192390779
109,C201,2LS,460.72649844009203
110,C201,20p10LS,463.585533474211
111,C201,20p10LS,469.503097515915
112,C201,20p10LS,479.680684166889
113,C201,20p10LS,473.39436794345994
114,C201,20p10LS,461.581824771391
115,C201,20p10LS,464.72289986836
116,C201,20p10LS,479.23012875006896
117,C201,20p10LS,465.600448665501
118,C201,20p10LS,458.76588956143206
119,C201,20p10LS,466.617010139627
120,C201,20p10LS,4984.085283708194
121,C201,20p10LS,4978.678052336076
122,C201,20p10LS,4967.7722284699885
123,C201,20p10LS,4981.909321801546
124,C201,20p10LS,4976.613458999751
125,C201,20p10LS,4967.760295525628
126,C201,20p10LS,4979.942107750681
127,C201,20p10LS,4960.10647211928
128,C201,20p10LS,4974.7821405097775
129,C201,20p10LS,4962.337463833604
130,C201,20p10LS,4956.125444041162
131,C201,20p10LS,4968.855858190158
132,C201,20p10LS,4967.926959709182
133,C201,20p10LS,4980.44521323041
134,C201,20p10LS,4957.606410373379
135,C201,20p10LS,4967.324016412728
136,C201,20p10LS,4965.825262994762
137,C201,20p10LS,4974.323423239734
138,C201,20p10LS,4960.6043527734
139,C201,20p10LS,4967.415845314758
140,C201,20p10LS,4975.698895990751
141,C201,20p10LS,4967.006938572798
142,R101,10LS,592.779802544749
143,R101,10LS,631.783328611641
144,R101,10LS,600.7530010541269
145,R101,10LS,595.416861361696
146,R101,10LS,589.695962228628
147,R101,10LS,623.191341359847
148,R101,10LS,591.2450480564689
149,R101,10LS,590.483509372913
150,R101,10LS,623.583723401088
151,R101,10LS,580.033477871231
152,R101,10LS,605.8958410624083
153,R101,10LS,618.9077074315175
154,R101,0LS,632.7120401488901
155,R101,0LS,617.723705525147
156,R101,0LS,625.046688126607
157,R101,0LS,611.086404760145
158,R101,0LS,611.863444502454
159,R101,0LS,636.77129336012
160,R101,0LS,639.380871872155
161,R101,0LS,627.0688083880169
162,R101,0LS,635.967251673978
163,R101,0LS,606.221970521338
164,R101,2LS,636.420312853299
165,R101,2LS,613.481672600781
166,R101,2LS,629.862817099249
167,R101,2LS,604.962374893823
168,R101,2LS,616.940962133931
169,R101,2LS,597.710368784056
170,R101,2LS,589.7850740153759
171,R101,2LS,600.339985497162
172,R101,2LS,631.468698024619
173,R101,2LS,616.198126618382
174,R101,2LS,1954.7985118951756
175,R101,2LS,1097.2669039849566
176,R101,2LS,1228.6802406305733
177,R101,2LS,1705.5194342259929
178,R101,2LS,1098.6586825793704
179,R101,2LS,1102.848110548916
180,R101,2LS,1098.818848535399
181,R101,2LS,1092.8029727150176
182,R101,2LS,1206.5267360190314
183,R101,2LS,1562.8777937337486
184,R101,2LS,1204.961643260786
185,R101,2LS,1104.7085710340946
186,R101,2LS,1115.3832287622872
187,R101,2LS,1118.2912919029532
188,R101,2LS,1103.1158364011983
189,R101,2LS,1207.336991596131
190,R101,2LS,1116.5580943495615
191,R101,2LS,1524.8300938208413
192,R101,2LS,1100.0040268656064
193,R101,2LS,1118.9694585045784
194,R101,2LS,1105.2182899297638
195,R101,2LS,1099.7262591907465
196,R101,2LS,1251.8794209245818
197,R101,2LS,1105.7961778245722
198,R101,2LS,1599.5539155074312
199,R101,2LS,1283.8616727856217
200,R101,2LS,1106.0229534166733
201,R101,2LS,1234.6271546932144
202,R101,2LS,1132.4443677332147
203,R101,20p10LS,599.236769845864
204,R101,20p10LS,619.390061218591
205,R101,20p10LS,635.2088221358821
206,R101,20p10LS,622.828955778484
207,R101,20p10LS,621.158402477659
208,R101,20p10LS,624.0016864384901
209,R101,20p10LS,598.0597555278421
210,R101,20p10LS,603.890039452293
211,R101,20p10LS,628.099026128488
212,R101,20p10LS,604.328909033266
213,R201,10LS,583.316151364901
214,R201,10LS,585.390818895431
215,R201,10LS,586.626709255881
216,R201,10LS,585.795341691836
217,R201,10LS,599.027648249956
218,R201,10LS,574.1736377529139
219,R201,10LS,587.394745626185
220,R201,10LS,586.270329714121
221,R201,10LS,565.685418335697
222,R201,10LS,590.6064589360881
223,R201,0LS,611.189468455392
224,R201,0LS,581.418808323653
225,R201,0LS,609.286099479519
226,R201,0LS,578.198205200318
227,R201,0LS,614.203510470123
228,R201,0LS,583.981932521359
229,R201,0LS,599.799077371015
230,R201,0LS,586.0702292967289
231,R201,0LS,581.5800067411969
232,R201,0LS,602.9930784895939
233,R201,2LS,597.039087575352
234,R201,2LS,598.752972822149
235,R201,2LS,593.552784901361
236,R201,2LS,589.612923284904
237,R201,2LS,594.469958611357
238,R201,2LS,597.423705106508
239,R201,2LS,593.542940630207
240,R201,2LS,592.767551028367
241,R201,2LS,599.336367356085
242,R201,2LS,584.146689048892
243,R201,20p10LS,616.274929560036
244,R201,20p10LS,590.477837158249
245,R201,20p10LS,564.751389251418
246,R201,20p10LS,595.137706654597
247,R201,20p10LS,599.102820855795
248,R201,20p10LS,601.151926876781
249,R201,20p10LS,605.439396132046
250,R201,20p10LS,603.798674951526
251,R201,20p10LS,585.234446770645
252,R201,20p10LS,611.042529007186
253,R201,20p10LS,1109.0205796983232
254,R201,20p10LS,1086.3973010979369
255,R201,20p10LS,1104.864661972955
256,R201,20p10LS,1100.130817411597
257,R201,20p10LS,1088.996935691737
258,R201,20p10LS,1100.6939839629863
259,R201,20p10LS,1108.0127305440847
260,R201,20p10LS,1099.888985556265
261,R201,20p10LS,1109.8595965872526
262,R201,20p10LS,1106.110771055628
263,R201,20p10LS,1100.3420603319587
264,R201,20p10LS,1083.949049215374
265,R201,20p10LS,1105.4308609172208
266,R201,20p10LS,1087.3856694802962
267,R201,20p10LS,1099.3350471887945
268,R201,20p10LS,1086.1594320774816
269,R201,20p10LS,1087.3244555015222
270,R201,20p10LS,1106.953715518442
271,R201,20p10LS,1104.436513032151
272,R201,20p10LS,1104.2313266171568
273,R201,20p10LS,1108.5094618306596
274,R201,20p10LS,1100.2525785594687
275,R201,20p10LS,1104.2244366892203
276,R201,20p10LS,1108.6846843725662
277,R201,20p10LS,1088.7518107064811
278,R201,20p10LS,1097.9727236665528
279,R201,20p10LS,1101.137440154105
280,R201,20p10LS,1096.9359561832985
281,R201,20p10LS,1095.7559031566184
282,R201,20p10LS,1092.3098697477067
283,R201,20p10LS,1097.0951831945065
284,RC101,10LS,518.4993134105661
285,RC101,10LS,518.4993134105661
286,RC101,10LS,518.4993134105661
287,RC101,10LS,518.4993134105661
288,RC101,10LS,518.4993134105661
289,RC101,10LS,518.4993134105661
290,RC101,10LS,518.4993134105661
291,RC101,10LS,518.4993134105661
292,RC101,10LS,518.4993134105661
293,RC101,10LS,518.4993134105661
294,RC101,0LS,519.296443075071
295,RC101,0LS,518.4993134105661
296,RC101,0LS,519.939209410623
297,RC101,0LS,518.4993134105661
298,RC101,0LS,518.4993134105661
299,RC101,0LS,518.4993134105661
300,RC101,0LS,518.4993134105661
301,RC101,0LS,519.939209410623
302,RC101,0LS,519.142079746119
303,RC101,0LS,518.4993134105661
304,RC101,0LS,518.499313410566
305,RC101,0LS,519.9392094106231
306,RC101,0LS,519.1420797461185
307,RC101,0LS,519.1619609719462
308,RC101,0LS,518.499313410566
309,RC101,0LS,518.499313410566
310,RC101,0LS,519.1420797461185
311,RC101,0LS,519.1420797461185
312,RC101,0LS,519.1420797461185
313,RC101,2LS,518.4993134105661
314,RC101,2LS,519.296443075071
315,RC101,2LS,518.4993134105661
316,RC101,2LS,519.142079746119
317,RC101,2LS,518.4993134105661
318,RC101,2LS,519.142079746119
319,RC101,2LS,519.142079746119
320,RC101,2LS,519.142079746119
321,RC101,2LS,518.4993134105661
322,RC101,2LS,518.4993134105661
323,RC101,20p10LS,519.142079746119
324,RC101,20p10LS,519.142079746119
325,RC101,20p10LS,519.142079746119
326,RC101,20p10LS,519.939209410623
327,RC101,20p10LS,519.142079746119
328,RC101,20p10LS,519.142079746119
329,RC101,20p10LS,518.4993134105661
330,RC101,20p10LS,519.296443075071
331,RC101,20p10LS,519.142079746119
332,RC101,20p10LS,518.4993134105661
333,RC101,20p10LS,1018.499313410566
334,RC101,20p10LS,1019.1420797461187
335,RC101,20p10LS,1018.499313410566
336,RC101,20p10LS,1018.499313410566
337,RC101,20p10LS,1019.1420797461185
338,RC101,20p10LS,1018.499313410566
339,RC101,20p10LS,1018.499313410566
340,RC101,20p10LS,1019.1420797461185
341,RC101,20p10LS,1019.2964430750706
342,RC101,20p10LS,1019.1420797461187
343,RC101,20p10LS,1019.1420797461185
344,RC101,20p10LS,1019.1420797461187
345,RC101,20p10LS,1019.1420797461185
346,RC101,20p10LS,1018.499313410566
347,RC101,20p10LS,1018.499313410566
348,RC101,20p10LS,1019.1420797461185
349,RC101,20p10LS,1019.1420797461185
350,RC101,20p10LS,1019.1420797461185
351,RC101,20p10LS,1019.9392094106231
352,RC101,20p10LS,1018.499313410566
353,RC101,20p10LS,1019.2964430750706
354,RC101,20p10LS,1019.1420797461185
355,RC201,10LS,518.4993134105661
356,RC201,10LS,518.4993134105661
357,RC201,10LS,518.4993134105661
358,RC201,10LS,518.4993134105661
359,RC201,10LS,518.4993134105661
360,RC201,10LS,518.4993134105661
361,RC201,10LS,518.4993134105661
362,RC201,10LS,518.4993134105661
363,RC201,10LS,518.4993134105661
364,RC201,10LS,518.4993134105661
365,RC201,0LS,519.142079746119
366,RC201,0LS,518.4993134105661
367,RC201,0LS,519.142079746119
368,RC201,0LS,518.4993134105661
369,RC201,0LS,519.142079746119
370,RC201,0LS,518.4993134105661
371,RC201,0LS,519.296443075071
372,RC201,0LS,519.296443075071
373,RC201,0LS,518.4993134105661
374,RC201,0LS,518.4993134105661
375,RC201,2LS,518.4993134105661
376,RC201,2LS,518.4993134105661
377,RC201,2LS,518.4993134105661
378,RC201,2LS,519.142079746119
379,RC201,2LS,518.4993134105661
380,RC201,2LS,519.939209410623
381,RC201,2LS,518.4993134105661
382,RC201,2LS,518.4993134105661
383,RC201,2LS,518.4993134105661
384,RC201,2LS,518.4993134105661
385,RC201,20p10LS,519.161960971946
386,RC201,20p10LS,519.142079746119
387,RC201,20p10LS,519.939209410623
388,RC201,20p10LS,520.16240600085
389,RC201,20p10LS,519.142079746119
390,RC201,20p10LS,518.4993134105661
391,RC201,20p10LS,519.909665120078
392,RC201,20p10LS,519.142079746119
393,RC201,20p10LS,518.4993134105661
394,RC201,20p10LS,519.296443075071
395,RC201,20p10LS,1019.1420797461185
396,RC201,20p10LS,1019.2964430750706
397,RC201,20p10LS,1018.499313410566
398,RC201,20p10LS,1018.499313410566
399,RC201,20p10LS,1019.2964430750706
400,RC201,20p10LS,1019.1420797461185
401,RC201,20p10LS,1018.499313410566
402,RC201,20p10LS,1020.978698927895
403,RC201,20p10LS,1018.499313410566
404,RC201,20p10LS,1018.499313410566
405,RC201,20p10LS,1019.2964430750706
406,RC201,20p10LS,1019.1420797461185
407,RC201,20p10LS,1019.1420797461185
408,RC201,20p10LS,1019.1420797461185
409,RC201,20p10LS,1019.1619609719462
410,RC201,20p10LS,1019.1420797461185
411,RC201,20p10LS,1018.499313410566
412,RC201,20p10LS,1019.1420797461187
413,RC201,20p10LS,1019.1420797461187
414,RC201,20p10LS,1018.499313410566
415,RC201,20p10LS,1019.1420797461187
416,RC201,20p10LS,1019.8047273074988
417,RC201,20p10LS,1018.499313410566
418,RC201,20p10LS,1018.499313410566
419,RC201,20p10LS,1019.9392094106233
420,RC201,20p10LS,1018.499313410566
421,RC201,20p10LS,1018.499313410566
422,RC201,20p10LS,1018.499313410566
423,RC201,20p10LS,1019.1420797461185
424,RC201,20p10LS,1019.1420797461185
425,RC201,20p10LS,1018.499313410566
